scorer,,,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev
bodyparts,,,Index_Left,Index_Left,Index_Right,Index_Right,Hand_Left,Hand_Left,Hand_Right,Hand_Right
coords,,,x,y,x,y,x,y,x,y
labeled-data,20220717_210442~2_2,img0095.png,716.1364274680523,292.28678837241966,759.923536020222,290.77688807751724,817.2997472265132,574.6381435191688,965.2699761269486,352.68280016851577
labeled-data,20220717_210442~2_2,img0134.png,722.176028647662,292.28678837241966,767.473037494734,289.2669877826148,818.8096475214155,582.1876449936808,980.3689790759726,360.23230164302777
labeled-data,20220717_210442~2_2,img0221.png,738.7849318915884,289.2669877826148,802.2007442774892,289.2669877826148,820.319547816318,579.167844403876,1012.0768852689231,382.88080606656376
labeled-data,20220717_210442~2_2,img0307.png,740.2948321864907,286.2471871928101,806.7304451621964,284.73728689790767,818.8096475214155,576.1480438140711,1021.1362870383374,381.37090577166134
labeled-data,20220717_210442~2_2,img0343.png,740.2948321864907,289.2669877826148,811.2601460469035,287.7570874877124,817.2997472265132,579.167844403876,1018.1164864485326,391.9402078359782
labeled-data,20220717_210442~2_2,img0498.png,762.9433366100268,293.7966886673221,833.9086504704397,301.3461901418341,823.3393484061229,589.7371464681928,1042.274891166971,407.0392107850022
labeled-data,20220717_210442~2_2,img0541.png,768.9829377896364,290.77688807751724,855.0472545990732,299.83628984693166,826.3591489959275,588.2272461732904,1064.923395590507,420.62831343912376
labeled-data,20220717_210442~2_2,img0607.png,772.0027383794412,289.2669877826148,859.5769554837804,293.7966886673221,817.2997472265132,586.717345878388,1069.4530964752144,426.66791461873345
labeled-data,20220717_210442~2_2,img0745.png,775.0225389692459,289.2669877826148,868.6363572531949,295.3065889622244,820.319547816318,589.7371464681928,1070.9629967701167,422.1382137340262
labeled-data,20220717_210442~2_2,img0795.png,787.1017413284652,295.3065889622244,877.6957590226092,301.3461901418341,832.3987501755372,597.2866479427048,1098.14120207836,429.6877152085382
labeled-data,20220717_210442~2_2,img0836.png,809.7502457520012,296.8164892571268,895.814562561438,298.32638955202924,842.968052239854,600.3064485325096,1099.6511023732623,431.1976155034406
labeled-data,20220717_210442~2_2,img0856.png,817.2997472265132,293.7966886673221,895.814562561438,298.32638955202924,845.9878528296589,592.7569470579976,1113.240205027384,432.707515798343
labeled-data,20220717_210442~2_2,img0950.png,814.2799466367084,292.28678837241966,894.3046622665357,296.8164892571268,850.517553714366,592.7569470579976,1098.14120207836,441.76691756775745
labeled-data,20220717_210442~2_2,img1041.png,814.2799466367084,289.2669877826148,897.3244628563406,296.8164892571268,844.4779525347564,589.7371464681928,1102.670902963067,431.1976155034406
labeled-data,20220717_210442~2_2,img1156.png,835.418550765342,296.8164892571268,932.0521696390957,298.32638955202924,859.5769554837804,606.3460497121192,1131.3590085662127,455.356020221879
labeled-data,20220717_210442~2_2,img1319.png,856.5571548939757,293.7966886673221,939.6016711136077,295.3065889622244,865.61655666339,600.3064485325096,1137.3986097458223,456.86592051678144
labeled-data,20220717_210442~2_2,img1387.png,867.1264569582924,295.3065889622244,939.6016711136077,295.3065889622244,871.6561578429997,595.7767476478025,1144.9481112203343,456.86592051678144
labeled-data,20220717_210442~2_2,img1417.png,868.6363572531949,293.7966886673221,939.6016711136077,295.3065889622244,867.1264569582924,594.2668473529,1140.418410335627,456.86592051678144
labeled-data,20220717_210442~2_2,img1470.png,877.6957590226092,295.3065889622244,941.1115714085103,298.32638955202924,876.1858587277069,598.7965482376072,1144.9481112203343,453.84611992697666
labeled-data,20220717_210442~2_2,img1483.png,877.6957590226092,293.7966886673221,941.1115714085103,296.8164892571268,877.6957590226092,598.7965482376072,1138.9085100407247,458.37582081168387
