scorer,,,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev
bodyparts,,,Index_Left,Index_Left,Index_Right,Index_Right,Hand_Left,Hand_Left,Hand_Right,Hand_Right
coords,,,x,y,x,y,x,y,x,y
labeled-data,20220717_210427~2_1,img0006.png,707.0770256986378,245.01181013902544,753.8839348406124,235.95240836961102,773.5126386743435,535.3807358517063,968.2897767167534,330.03429574497966
labeled-data,20220717_210427~2_1,img0082.png,707.0770256986378,240.95017834573798,755.3938351355148,236.42047746103083,779.5522398539532,523.3015334924871,960.7402752422414,333.0540963347845
labeled-data,20220717_210427~2_1,img0140.png,705.5671254037355,240.95017834573798,755.3938351355148,236.42047746103083,775.0225389692459,529.3411346720968,965.2699761269486,337.58379721949166
labeled-data,20220717_210427~2_1,img0159.png,708.5869259935403,243.96997893554283,755.3938351355148,236.42047746103083,775.0225389692459,529.3411346720968,957.7204746524366,331.5441960398821
labeled-data,20220717_210427~2_1,img0189.png,717.6463277629547,243.96997893554283,772.0027383794412,240.95017834573798,775.0225389692459,526.321334082292,980.3689790759726,343.62339839910135
labeled-data,20220717_210427~2_1,img0223.png,732.7453307119787,250.0095801151524,791.6314422131724,246.98977952534756,785.5918410335628,535.3807358517063,1001.5075832046062,354.1927004634181
labeled-data,20220717_210427~2_1,img0289.png,752.37403454571,245.47987923044514,815.7898469316109,239.44027805083556,788.6116416233676,530.8510349669991,1036.2352899873613,352.68280016851577
labeled-data,20220717_210427~2_1,img0367.png,755.3938351355148,245.47987923044514,823.3393484061229,240.95017834573798,785.5918410335628,526.321334082292,,
labeled-data,20220717_210427~2_1,img0411.png,756.9037354304171,243.96997893554283,818.8096475214155,240.95017834573798,790.1215419182699,524.8114337873895,1039.2550905771664,366.27190282263734
labeled-data,20220717_210427~2_1,img0541.png,764.4532369049291,253.02938070495725,832.3987501755372,251.51948041005483,794.6512428029772,533.870835556804,1060.3936947058,372.3115040022469
labeled-data,20220717_210427~2_1,img0587.png,779.5522398539532,250.0095801151524,845.9878528296589,250.0095801151524,805.220544867294,533.870835556804,1073.9827973599213,375.33130459205177
